id,name,category,cuisine,servings,prep_min,cook_min,total_min,photo_file,photo_keywords,photo_url,ingredients,ingredients_json,kcal,protein_g,fat_g,carbs_g,fiber_g,net_carbs_g,glycemic_index,gi_category,glycemic_load,gl_category,gi_note,diet_tags,instructions,steps_json
DB-0001,Spinach & Feta Egg White Omelet,Breakfast,Mediterranean,1,5,8,13,spinach-and-feta-egg-white-omelet.jpg,"Spinach & Feta Egg White Omelet, healthy food photography, plated, natural light",,"Egg whites — 150 g (5.3 oz) [5 egg whites]
Spinach — 60 g (2.1 oz)
Feta cheese — 30 g (1.1 oz)
Extra-virgin olive oil — 5 g (0.2 oz)
Green onions (scallions) — 10 g (0.4 oz)
Black pepper — 1 g (0.0 oz)","[{""ingredient_id"": ""egg_white"", ""name"": ""Egg whites"", ""grams"": 150.0, ""note"": ""5 egg whites""}, {""ingredient_id"": ""spinach"", ""name"": ""Spinach"", ""grams"": 60.0, ""note"": """"}, {""ingredient_id"": ""feta"", ""name"": ""Feta cheese"", ""grams"": 30.0, ""note"": """"}, {""ingredient_id"": ""olive_oil"", ""name"": ""Extra-virgin olive oil"", ""grams"": 5.0, ""note"": """"}, {""ingredient_id"": ""green_onion"", ""name"": ""Green onions (scallions)"", ""grams"": 10.0, ""note"": """"}, {""ingredient_id"": ""black_pepper"", ""name"": ""Black pepper"", ""grams"": 1.0, ""note"": """"}]",221,22.7,11.9,5.8,1.8,4.0,6,low,0.2,low,"Negligible carbohydrate (<5 g net/serving): GI has little practical meaning, glycemic load is what matters.","vegetarian, gluten-free, nut-free, low-carb, quick","1. Heat olive oil in a nonstick skillet over medium heat and wilt the spinach for 1 minute.
2. Pour in the egg whites, season with pepper, and cook undisturbed until the edges set.
3. Sprinkle feta and green onion over one half, fold the omelet over and cook 1 more minute.
4. Slide onto a plate and serve immediately.","[""Heat olive oil in a nonstick skillet over medium heat and wilt the spinach for 1 minute."", ""Pour in the egg whites, season with pepper, and cook undisturbed until the edges set."", ""Sprinkle feta and green onion over one half, fold the omelet over and cook 1 more minute."", ""Slide onto a plate and serve immediately.""]"
DB-0002,Veggie-Loaded Scrambled Eggs,Breakfast,American,2,10,10,20,veggie-loaded-scrambled-eggs.jpg,"Veggie-Loaded Scrambled Eggs, healthy food photography, plated, natural light",,"Egg, large (50 g each) — 200 g (7.1 oz) [4 large eggs]
Bell pepper — 80 g (2.8 oz)
Mushrooms (cremini/white) — 80 g (2.8 oz)
Spinach — 50 g (1.8 oz)
Yellow onion — 40 g (1.4 oz)
Extra-virgin olive oil — 10 g (0.4 oz)
Cheddar cheese — 30 g (1.1 oz)
Salt — 1 g (0.0 oz)
Black pepper — 1 g (0.0 oz)","[{""ingredient_id"": ""egg"", ""name"": ""Egg, large (50 g each)"", ""grams"": 200.0, ""note"": ""4 large eggs""}, {""ingredient_id"": ""bell_pepper"", ""name"": ""Bell pepper"", ""grams"": 80.0, ""note"": """"}, {""ingredient_id"": ""mushrooms"", ""name"": ""Mushrooms (cremini/white)"", ""grams"": 80.0, ""note"": """"}, {""ingredient_id"": ""spinach"", ""name"": ""Spinach"", ""grams"": 50.0, ""note"": """"}, {""ingredient_id"": ""onion"", ""name"": ""Yellow onion"", ""grams"": 40.0, ""note"": """"}, {""ingredient_id"": ""olive_oil"", ""name"": ""Extra-virgin olive oil"", ""grams"": 10.0, ""note"": """"}, {""ingredient_id"": ""cheddar"", ""name"": ""Cheddar cheese"", ""grams"": 30.0, ""note"": """"}, {""ingredient_id"": ""salt"", ""name"": ""Salt"", ""grams"": 1.0, ""note"": """"}, {""ingredient_id"": ""black_pepper"", ""name"": ""Black pepper"", ""grams"": 1.0, ""note"": """"}]",284,18.7,19.8,7.7,2.3,5.4,13,low,0.7,low,,"vegetarian, gluten-free, nut-free, low-carb, quick","1. Sauté onion, bell pepper and mushrooms in olive oil over medium heat for 5 minutes until soft.
2. Add spinach and stir until wilted.
3. Whisk eggs with salt and pepper, pour over the vegetables and stir gently until softly set.
4. Fold in the cheddar, remove from heat and serve.","[""Sauté onion, bell pepper and mushrooms in olive oil over medium heat for 5 minutes until soft."", ""Add spinach and stir until wilted."", ""Whisk eggs with salt and pepper, pour over the vegetables and stir gently until softly set."", ""Fold in the cheddar, remove from heat and serve.""]"
DB-0003,Avocado & Egg Sprouted-Grain Toast,Breakfast,American,1,5,6,11,avocado-and-egg-sprouted-grain-toast.jpg,"Avocado & Egg Sprouted-Grain Toast, healthy food photography, plated, natural light",,"Sprouted grain bread (Ezekiel-style) — 34 g (1.2 oz) [1 slice]
Avocado — 70 g (2.5 oz) [half avocado]
Egg, large (50 g each) — 50 g (1.8 oz) [1 large egg]
Lemon juice — 5 g (0.2 oz)
Red pepper flakes — 0.5 g (0.0 oz)
Salt — 0.5 g (0.0 oz)","[{""ingredient_id"": ""ezekiel_bread"", ""name"": ""Sprouted grain bread (Ezekiel-style)"", ""grams"": 34.0, ""note"": ""1 slice""}, {""ingredient_id"": ""avocado"", ""name"": ""Avocado"", ""grams"": 70.0, ""note"": ""half avocado""}, {""ingredient_id"": ""egg"", ""name"": ""Egg, large (50 g each)"", ""grams"": 50.0, ""note"": ""1 large egg""}, {""ingredient_id"": ""lemon_juice"", ""name"": ""Lemon juice"", ""grams"": 5.0, ""note"": """"}, {""ingredient_id"": ""red_pepper_flakes"", ""name"": ""Red pepper flakes"", ""grams"": 0.5, ""note"": """"}, {""ingredient_id"": ""salt"", ""name"": ""Salt"", ""grams"": 0.5, ""note"": """"}]",266,11.9,15.9,21.9,7.9,14.0,49,low,6.9,low,,"vegetarian, gluten-free, dairy-free, nut-free, low-carb, high-fiber, quick","1. Toast the bread until golden.
2. Mash the avocado with lemon juice and salt and spread over the toast.
3. Fry or poach the egg to your liking and set it on top.
4. Finish with red pepper flakes.","[""Toast the bread until golden."", ""Mash the avocado with lemon juice and salt and spread over the toast."", ""Fry or poach the egg to your liking and set it on top."", ""Finish with red pepper flakes.""]"
DB-0004,Greek Yogurt Berry Parfait with Walnuts,Breakfast,American,1,5,0,5,greek-yogurt-berry-parfait-with-walnuts.jpg,"Greek Yogurt Berry Parfait with Walnuts, healthy food photography, plated, natural light",,"Greek yogurt, plain 2% — 200 g (7.1 oz)
Mixed berries, frozen — 80 g (2.8 oz)
Walnuts — 20 g (0.7 oz)
Chia seeds — 8 g (0.3 oz)
Ground cinnamon — 1 g (0.0 oz)","[{""ingredient_id"": ""greek_yogurt"", ""name"": ""Greek yogurt, plain 2%"", ""grams"": 200.0, ""note"": """"}, {""ingredient_id"": ""mixed_berries"", ""name"": ""Mixed berries, frozen"", ""grams"": 80.0, ""note"": """"}, {""ingredient_id"": ""walnuts"", ""name"": ""Walnuts"", ""grams"": 20.0, ""note"": """"}, {""ingredient_id"": ""chia_seeds"", ""name"": ""Chia seeds"", ""grams"": 8.0, ""note"": """"}, {""ingredient_id"": ""cinnamon"", ""name"": ""Ground cinnamon"", ""grams"": 1.0, ""note"": """"}]",354,25.0,19.8,23.8,7.8,16.0,22,low,3.5,low,,"vegetarian, gluten-free, high-protein, high-fiber, no-cook, quick","1. Spoon half the yogurt into a glass or bowl.
2. Layer half the berries and walnuts, then repeat with the remaining yogurt and toppings.
3. Sprinkle chia seeds and cinnamon on top and serve, or refrigerate up to 24 hours.","[""Spoon half the yogurt into a glass or bowl."", ""Layer half the berries and walnuts, then repeat with the remaining yogurt and toppings."", ""Sprinkle chia seeds and cinnamon on top and serve, or refrigerate up to 24 hours.""]"
DB-0005,Overnight Steel-Cut Oats with Blueberries,Breakfast,American,2,5,0,5,overnight-steel-cut-oats-with-blueberries.jpg,"Overnight Steel-Cut Oats with Blueberries, healthy food photography, plated, natural light",,"Steel-cut oats, dry — 70 g (2.5 oz)
Almond milk, unsweetened — 300 g (10.6 oz)
Chia seeds — 15 g (0.5 oz)
Blueberries — 100 g (3.5 oz)
Almonds — 20 g (0.7 oz)
Ground cinnamon — 2 g (0.1 oz)
Vanilla extract — 3 g (0.1 oz)","[{""ingredient_id"": ""steel_cut_oats"", ""name"": ""Steel-cut oats, dry"", ""grams"": 70.0, ""note"": """"}, {""ingredient_id"": ""almond_milk"", ""name"": ""Almond milk, unsweetened"", ""grams"": 300.0, ""note"": """"}, {""ingredient_id"": ""chia_seeds"", ""name"": ""Chia seeds"", ""grams"": 15.0, ""note"": """"}, {""ingredient_id"": ""blueberries"", ""name"": ""Blueberries"", ""grams"": 100.0, ""note"": """"}, {""ingredient_id"": ""almonds"", ""name"": ""Almonds"", ""grams"": 20.0, ""note"": """"}, {""ingredient_id"": ""cinnamon"", ""name"": ""Ground cinnamon"", ""grams"": 2.0, ""note"": """"}, {""ingredient_id"": ""vanilla_extract"", ""name"": ""Vanilla extract"", ""grams"": 3.0, ""note"": """"}]",283,9.2,11.6,38.0,9.0,28.9,49,low,14.2,medium,,"vegan, dairy-free, high-fiber, no-cook, make-ahead","1. Combine oats, almond milk, chia seeds, cinnamon and vanilla in a jar and stir well.
2. Refrigerate overnight (at least 8 hours) so the oats soften without cooking, which keeps the GI lower.
3. In the morning stir, divide into two bowls and top with blueberries and sliced almonds.","[""Combine oats, almond milk, chia seeds, cinnamon and vanilla in a jar and stir well."", ""Refrigerate overnight (at least 8 hours) so the oats soften without cooking, which keeps the GI lower."", ""In the morning stir, divide into two bowls and top with blueberries and sliced almonds.""]"
DB-0006,Chia Seed Pudding with Raspberries,Breakfast,American,2,5,0,5,chia-seed-pudding-with-raspberries.jpg,"Chia Seed Pudding with Raspberries, healthy food photography, plated, natural light",,"Chia seeds — 40 g (1.4 oz)
Almond milk, unsweetened — 300 g (10.6 oz)
Raspberries — 100 g (3.5 oz)
Vanilla extract — 3 g (0.1 oz)
Monk fruit/erythritol sweetener — 5 g (0.2 oz)
Almonds — 15 g (0.5 oz)","[{""ingredient_id"": ""chia_seeds"", ""name"": ""Chia seeds"", ""grams"": 40.0, ""note"": """"}, {""ingredient_id"": ""almond_milk"", ""name"": ""Almond milk, unsweetened"", ""grams"": 300.0, ""note"": """"}, {""ingredient_id"": ""raspberries"", ""name"": ""Raspberries"", ""grams"": 100.0, ""note"": """"}, {""ingredient_id"": ""vanilla_extract"", ""name"": ""Vanilla extract"", ""grams"": 3.0, ""note"": """"}, {""ingredient_id"": ""monk_fruit_sweetener"", ""name"": ""Monk fruit/erythritol sweetener"", ""grams"": 5.0, ""note"": """"}, {""ingredient_id"": ""almonds"", ""name"": ""Almonds"", ""grams"": 15.0, ""note"": """"}]",193,6.5,12.1,17.1,11.0,6.2,24,low,1.5,low,,"vegan, gluten-free, dairy-free, low-carb, high-fiber, no-cook, make-ahead","1. Whisk chia seeds, almond milk, vanilla and sweetener in a bowl.
2. Let stand 10 minutes, whisk again to break up clumps, then refrigerate at least 4 hours or overnight.
3. Spoon into bowls and top with raspberries and sliced almonds.","[""Whisk chia seeds, almond milk, vanilla and sweetener in a bowl."", ""Let stand 10 minutes, whisk again to break up clumps, then refrigerate at least 4 hours or overnight."", ""Spoon into bowls and top with raspberries and sliced almonds.""]"
DB-0007,Cottage Cheese Bowl with Peaches & Pecans,Breakfast,American,1,5,0,5,cottage-cheese-bowl-with-peaches-and-pecans.jpg,"Cottage Cheese Bowl with Peaches & Pecans, healthy food photography, plated, natural light",,"Cottage cheese, low-fat — 200 g (7.1 oz)
Peach — 120 g (4.2 oz) [1 medium peach]
Pecans — 20 g (0.7 oz)
Ground cinnamon — 1 g (0.0 oz)
Ground flaxseed — 8 g (0.3 oz)","[{""ingredient_id"": ""cottage_cheese"", ""name"": ""Cottage cheese, low-fat"", ""grams"": 200.0, ""note"": """"}, {""ingredient_id"": ""peach"", ""name"": ""Peach"", ""grams"": 120.0, ""note"": ""1 medium peach""}, {""ingredient_id"": ""pecans"", ""name"": ""Pecans"", ""grams"": 20.0, ""note"": """"}, {""ingredient_id"": ""cinnamon"", ""name"": ""Ground cinnamon"", ""grams"": 1.0, ""note"": """"}, {""ingredient_id"": ""flaxseed"", ""name"": ""Ground flaxseed"", ""grams"": 8.0, ""note"": """"}]",398,26.4,22.7,25.9,6.4,19.5,26,low,5.1,low,,"vegetarian, gluten-free, high-protein, no-cook, quick","1. Spoon the cottage cheese into a bowl.
2. Slice the peach and arrange on top.
3. Sprinkle with chopped pecans, ground flaxseed and cinnamon.","[""Spoon the cottage cheese into a bowl."", ""Slice the peach and arrange on top."", ""Sprinkle with chopped pecans, ground flaxseed and cinnamon.""]"
DB-0008,Southwest Breakfast Burrito,Breakfast,Tex-Mex,2,10,12,22,southwest-breakfast-burrito.jpg,"Southwest Breakfast Burrito, healthy food photography, plated, natural light",,"Low-carb high-fiber tortilla — 84 g (3.0 oz) [2 tortillas]
Egg, large (50 g each) — 200 g (7.1 oz) [4 large eggs]
Black beans, cooked — 80 g (2.8 oz)
Bell pepper — 60 g (2.1 oz)
Yellow onion — 30 g (1.1 oz)
Pepper jack cheese — 40 g (1.4 oz)
Salsa, no sugar added — 60 g (2.1 oz)
Avocado — 60 g (2.1 oz)
Extra-virgin olive oil — 8 g (0.3 oz)
Ground cumin — 1 g (0.0 oz)","[{""ingredient_id"": ""low_carb_tortilla"", ""name"": ""Low-carb high-fiber tortilla"", ""grams"": 84.0, ""note"": ""2 tortillas""}, {""ingredient_id"": ""egg"", ""name"": ""Egg, large (50 g each)"", ""grams"": 200.0, ""note"": ""4 large eggs""}, {""ingredient_id"": ""black_beans"", ""name"": ""Black beans, cooked"", ""grams"": 80.0, ""note"": """"}, {""ingredient_id"": ""bell_pepper"", ""name"": ""Bell pepper"", ""grams"": 60.0, ""note"": """"}, {""ingredient_id"": ""onion"", ""name"": ""Yellow onion"", ""grams"": 30.0, ""note"": """"}, {""ingredient_id"": ""pepper_jack"", ""name"": ""Pepper jack cheese"", ""grams"": 40.0, ""note"": """"}, {""ingredient_id"": ""salsa"", ""name"": ""Salsa, no sugar added"", ""grams"": 60.0, ""note"": """"}, {""ingredient_id"": ""avocado"", ""name"": ""Avocado"", ""grams"": 60.0, ""note"": """"}, {""ingredient_id"": ""olive_oil"", ""name"": ""Extra-virgin olive oil"", ""grams"": 8.0, ""note"": """"}, {""ingredient_id"": ""cumin"", ""name"": ""Ground cumin"", ""grams"": 1.0, ""note"": """"}]",488,27.6,27.8,35.3,17.4,18.0,26,low,4.7,low,,"vegetarian, nut-free, high-protein, high-fiber","1. Sauté onion and bell pepper in olive oil for 4 minutes, add black beans and cumin and warm through.
2. Whisk the eggs, pour into the pan and scramble until just set.
3. Warm the tortillas, fill with the egg mixture, cheese, avocado and salsa.
4. Roll tightly, folding in the sides, and cut in half.","[""Sauté onion and bell pepper in olive oil for 4 minutes, add black beans and cumin and warm through."", ""Whisk the eggs, pour into the pan and scramble until just set."", ""Warm the tortillas, fill with the egg mixture, cheese, avocado and salsa."", ""Roll tightly, folding in the sides, and cut in half.""]"
DB-0009,Turkey Sausage & Kale Frittata,Breakfast,American,4,10,25,35,turkey-sausage-and-kale-frittata.jpg,"Turkey Sausage & Kale Frittata, healthy food photography, plated, natural light",,"Egg, large (50 g each) — 400 g (14.1 oz) [8 large eggs]
Turkey sausage — 200 g (7.1 oz)
Kale — 100 g (3.5 oz)
Yellow onion — 60 g (2.1 oz)
Mozzarella, part-skim — 60 g (2.1 oz)
Extra-virgin olive oil — 10 g (0.4 oz)
Garlic — 5 g (0.2 oz)
Salt — 2 g (0.1 oz)
Black pepper — 1 g (0.0 oz)","[{""ingredient_id"": ""egg"", ""name"": ""Egg, large (50 g each)"", ""grams"": 400.0, ""note"": ""8 large eggs""}, {""ingredient_id"": ""turkey_sausage"", ""name"": ""Turkey sausage"", ""grams"": 200.0, ""note"": """"}, {""ingredient_id"": ""kale"", ""name"": ""Kale"", ""grams"": 100.0, ""note"": """"}, {""ingredient_id"": ""onion"", ""name"": ""Yellow onion"", ""grams"": 60.0, ""note"": """"}, {""ingredient_id"": ""mozzarella"", ""name"": ""Mozzarella, part-skim"", ""grams"": 60.0, ""note"": """"}, {""ingredient_id"": ""olive_oil"", ""name"": ""Extra-virgin olive oil"", ""grams"": 10.0, ""note"": """"}, {""ingredient_id"": ""garlic"", ""name"": ""Garlic"", ""grams"": 5.0, ""note"": """"}, {""ingredient_id"": ""salt"", ""name"": ""Salt"", ""grams"": 2.0, ""note"": """"}, {""ingredient_id"": ""black_pepper"", ""name"": ""Black pepper"", ""grams"": 1.0, ""note"": """"}]",301,25.0,19.7,6.3,1.2,5.1,10,low,0.5,low,,"gluten-free, nut-free, low-carb, high-protein, make-ahead","1. Preheat oven to 375°F. Brown crumbled turkey sausage in an ovenproof skillet, then remove.
2. Sauté onion and garlic in olive oil, add kale and cook until wilted. Return sausage to the pan.
3. Whisk eggs with salt and pepper, pour over the filling and scatter mozzarella on top.
4. Cook 2 minutes on the stove, then bake 15–18 minutes until set. Cool 5 minutes before slicing.","[""Preheat oven to 375°F. Brown crumbled turkey sausage in an ovenproof skillet, then remove."", ""Sauté onion and garlic in olive oil, add kale and cook until wilted. Return sausage to the pan."", ""Whisk eggs with salt and pepper, pour over the filling and scatter mozzarella on top."", ""Cook 2 minutes on the stove, then bake 15–18 minutes until set. Cool 5 minutes before slicing.""]"
DB-0010,Almond Flour Blueberry Pancakes,Breakfast,American,2,10,12,22,almond-flour-blueberry-pancakes.jpg,"Almond Flour Blueberry Pancakes, healthy food photography, plated, natural light",,"Almond flour — 100 g (3.5 oz)
Egg, large (50 g each) — 100 g (3.5 oz) [2 large eggs]
Almond milk, unsweetened — 60 g (2.1 oz)
Baking powder — 4 g (0.1 oz)
Vanilla extract — 3 g (0.1 oz)
Monk fruit/erythritol sweetener — 8 g (0.3 oz)
Blueberries — 80 g (2.8 oz)
Coconut oil — 10 g (0.4 oz)","[{""ingredient_id"": ""almond_flour"", ""name"": ""Almond flour"", ""grams"": 100.0, ""note"": """"}, {""ingredient_id"": ""egg"", ""name"": ""Egg, large (50 g each)"", ""grams"": 100.0, ""note"": ""2 large eggs""}, {""ingredient_id"": ""almond_milk"", ""name"": ""Almond milk, unsweetened"", ""grams"": 60.0, ""note"": """"}, {""ingredient_id"": ""baking_powder"", ""name"": ""Baking powder"", ""grams"": 4.0, ""note"": """"}, {""ingredient_id"": ""vanilla_extract"", ""name"": ""Vanilla extract"", ""grams"": 3.0, ""note"": """"}, {""ingredient_id"": ""monk_fruit_sweetener"", ""name"": ""Monk fruit/erythritol sweetener"", ""grams"": 8.0, ""note"": """"}, {""ingredient_id"": ""blueberries"", ""name"": ""Blueberries"", ""grams"": 80.0, ""note"": """"}, {""ingredient_id"": ""coconut_oil"", ""name"": ""Coconut oil"", ""grams"": 10.0, ""note"": """"}]",442,17.3,35.2,17.6,7.0,10.6,31,low,3.3,low,,"vegetarian, gluten-free, dairy-free, low-carb","1. Whisk eggs, almond milk, vanilla and sweetener, then stir in almond flour and baking powder to a thick batter.
2. Fold in the blueberries.
3. Cook 1/4-cup portions in coconut oil over medium-low heat, 3 minutes per side, flipping carefully.
4. Serve warm with extra berries if desired.","[""Whisk eggs, almond milk, vanilla and sweetener, then stir in almond flour and baking powder to a thick batter."", ""Fold in the blueberries."", ""Cook 1/4-cup portions in coconut oil over medium-low heat, 3 minutes per side, flipping carefully."", ""Serve warm with extra berries if desired.""]"
